PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Hotel,DOWNTOWN,1.0,88434,Hotel,NONE,7226362.5,0.546059929874816,0.277301616131214,0.1766383848028659,89,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,103566,Hotel,Parking,8387933.0,0.38660907281925116,0.0,0.6133909271807488,20,0.8545468590077825,0.1454531409922175,0.8099183129598517,0.1454531409922175
Hotel,DOWNTOWN,1.0,956110,Hotel,NONE,72587024.0,0.6823074052464253,0.29711307629859574,0.020579435795576907,47,0.7942517074395206,0.20574829256047944,0.791219629540534,0.0
Hotel,DOWNTOWN,1.0,61320,Hotel,NONE,6794584.0,0.40751928300540546,0.32591344076399675,0.2665671658485641,90,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,175580,Hotel,Parking,14172606.0,0.3788016826263286,0.0,0.6211982468150177,36,0.6468846110035311,0.3531153889964688,0.7030698257204693,0.38733910468162663
Other,DOWNTOWN,1.0,97288,Police Station,NONE,12086616.0,0.609884023783001,0.0,0.39011597621699906,17,0.6176506866211661,0.382349313378834,0.9130622481703807,0.0
Hotel,DOWNTOWN,1.0,83008,Hotel,NONE,5758795.0,0.4881602835315374,0.0,0.5118397164684626,90,1.0,0.0,0.9800501156515035,0.0
Other,DOWNTOWN,1.0,102761,Other - Entertainment/Public Assembly,NONE,6298131.5,0.5774180802671396,0.36142251078752485,0.061159250168085565,90,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,163984,Hotel,NONE,13723820.0,0.5317702359838588,0.0,0.4682296911501317,112,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,153163,Hotel,NONE,16016644.0,0.386324813113159,0.32698269999632884,0.2866923932379342,47,0.8741275634454797,0.12587243655452035,0.8741275634454797,0.0
Hotel,DOWNTOWN,1.0,333176,Hotel,NONE,26941110.0,0.6712065315794338,0.22268423609866111,0.10610921376290731,18,0.8164303551276202,0.18356964487237976,1.0,0.0
Hotel,DOWNTOWN,1.0,65009,Hotel,NONE,6596057.5,0.2036064725027033,0.2511125016724005,0.5452810258248961,88,1.0,0.0,1.0,0.0
Hotel,DOWNTOWN,1.0,315952,Hotel,Parking,22325364.0,0.6227975946999117,0.19429642894064347,0.18290586437918774,36,0.8176938269104168,0.18230617308958322,0.9353034638172887,0.18230617308958322
